n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))
10,2,0,2,0,2,0,0,1
10,6,0,6,0,6,0,0,2
10,2,0,2,0,2,0,0,0
10,15,0,15,0,15,1,0,1
10,6,0,6,0,6,0,0,0
10,1,0,1,0,1,0,1,0
10,2,1,2,1,2,1,0,2
10,2,0,2,0,2,0,0,0
10,2,0,2,0,2,0,0,0
10,2,0,2,0,2,0,0,1
10,2,0,2,1,2,1,0,0
10,2,1,2,0,2,0,0,0
10,2,0,2,0,2,0,0,1
10,1,0,1,0,1,0,0,0
10,1,0,1,2,1,0,0,1
10,4,0,4,0,4,0,0,0
10,2,0,2,1,2,0,1,2
10,4,0,4,0,4,0,1,1
10,6,0,6,0,6,0,1,0
10,2,1,2,0,2,1,0,2
10,2,0,2,0,2,0,0,2
10,4,0,4,0,4,0,0,1
10,2,0,2,0,2,0,0,0
10,2,0,2,0,2,0,0,2
10,1,1,1,1,1,0,0,1
10,4,0,4,1,4,0,0,0
10,4,0,4,0,4,0,0,0
10,2,0,2,0,2,0,0,0
10,4,0,4,0,4,0,0,2
10,1,0,1,0,1,0,0,0
10,2,0,2,0,2,0,0,2
10,2,1,2,0,2,1,0,1
10,4,0,4,0,4,0,0,1
10,1,0,1,0,1,0,0,1
10,1,0,1,0,1,0,0,0
10,2,0,2,0,2,0,0,0
10,2,0,2,1,2,0,0,1
10,4,1,4,1,4,1,2,1
10,2,0,2,1,2,0,0,0
10,1,0,1,0,1,1,1,0
10,2,0,2,1,2,0,1,1
10,1,0,1,0,1,0,0,1
10,1,0,1,0,1,0,0,0
10,4,0,4,0,4,0,0,1
10,2,0,2,1,2,0,0,0
10,1,0,1,0,1,0,1,0
10,1,0,1,1,1,0,1,1
10,1,0,1,0,1,0,1,0
10,12,0,12,0,12,0,0,1
10,2,0,2,0,2,0,0,0
