n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
13,4,0,4,1,4,0,0,2,
13,10,0,10,0,10,0,0,2,
13,21,0,21,0,21,0,0,21,
13,2,0,2,1,2,0,0,1,
13,32,0,32,1,32,0,0,24,
13,12,0,12,0,12,0,0,0,
13,12,0,12,0,12,0,0,0,
13,4,0,4,0,4,1,0,0,
13,6,0,6,0,6,0,0,0,
13,3,0,3,0,3,0,0,1,
13,8,0,8,0,8,0,0,0,
13,4,0,4,0,4,0,0,2,
13,6,0,6,0,6,0,0,0,
13,4,0,4,3,4,0,0,0,
13,2,0,2,0,2,0,0,0,
13,2,0,2,1,2,0,0,0,
13,24,0,24,2,24,0,0,6,
13,6,0,6,0,6,0,0,0,
13,8,0,8,0,8,0,0,0,
13,4,0,4,1,4,0,0,2,
13,1,0,1,0,1,0,0,1,
13,4,0,4,0,4,0,0,2,
13,8,0,8,0,8,0,0,2,
13,3,0,3,0,3,1,0,0,
13,30,0,30,1,30,0,1,5,
13,4,0,4,0,4,0,0,2,
13,12,0,12,0,12,0,0,3,
13,6,0,6,1,6,0,0,2,
13,6,0,6,0,6,0,0,2,
13,8,0,8,1,8,0,1,8,
13,3,0,3,0,3,0,0,3,
13,8,0,8,0,8,0,0,4,
13,10,0,10,0,10,0,0,0,
13,3,0,3,0,3,0,0,3,
13,4,0,4,0,4,1,0,0,
13,12,0,12,0,12,0,0,4,
13,4,0,4,0,4,0,0,4,
13,12,0,12,1,12,0,0,2,
13,8,0,8,0,8,0,0,2,
13,12,0,12,0,12,0,0,0,
13,12,0,12,0,12,0,0,12,
13,2,0,2,1,2,0,1,1,
13,4,0,4,0,4,0,0,0,
13,64,0,64,0,64,0,0,16,
13,4,0,4,0,4,0,0,2,
13,2,0,2,2,2,0,0,2,
13,8,0,8,1,8,0,0,2,
13,16,0,16,1,16,0,0,0,
13,24,0,24,1,24,0,0,12,
13,16,0,16,0,16,1,0,0,
