n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
11,2,1,2,0,2,1,0,2,
11,6,0,6,1,6,0,0,4,
11,6,0,6,0,6,0,1,2,
11,2,0,2,1,2,0,0,0,
11,1,0,1,0,1,0,0,0,
11,36,0,36,0,36,0,0,6,
11,4,0,4,1,4,0,1,2,
11,12,0,12,0,12,0,0,12,
11,8,0,8,0,8,0,0,2,
11,4,0,4,0,4,0,0,0,
11,2,0,2,0,2,0,0,2,
11,8,0,8,0,8,0,0,4,
11,3,0,3,0,3,0,0,3,
11,6,0,6,0,6,0,0,0,
11,8,0,8,0,8,0,0,0,
11,2,0,2,0,2,0,1,1,
11,2,0,2,0,2,0,0,0,
11,3,0,3,0,3,0,0,1,
11,1,0,1,0,1,0,0,1,
11,6,0,6,0,6,0,0,0,
11,8,0,8,0,8,0,0,4,
11,2,0,2,0,2,0,0,0,
11,4,0,4,0,4,0,0,0,
11,1,0,1,1,1,0,1,1,
11,4,0,4,0,4,0,0,2,
11,4,0,4,0,4,0,0,0,
11,5,0,5,0,5,0,0,0,
11,2,0,2,2,2,0,1,2,
11,1,0,1,1,1,0,0,1,
11,2,0,2,0,2,0,0,1,
11,18,0,18,0,18,0,0,18,
11,4,0,4,0,4,0,0,1,
11,36,0,36,0,36,0,0,0,
11,2,0,2,0,2,0,0,2,
11,2,0,2,0,2,0,0,1,
11,4,0,4,1,4,0,0,1,
11,2,0,2,0,2,0,0,2,
11,12,0,12,0,12,0,0,0,
11,18,0,18,1,18,0,0,3,
11,2,0,2,1,2,0,0,0,
11,3,0,3,1,3,0,1,1,
11,6,0,6,0,6,0,1,0,
11,30,0,30,0,30,0,0,0,
11,10,0,10,0,10,0,0,6,
11,2,1,2,0,2,0,0,0,
11,6,0,6,0,6,0,0,6,
11,4,1,4,1,4,0,0,2,
11,4,0,4,0,4,0,0,0,
11,2,0,2,2,2,0,0,2,
11,12,0,12,0,12,0,0,4,
