n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
10,12,0,12,0,12,0,0,0,
10,1,0,1,0,1,0,0,0,
10,5,0,5,0,5,0,0,0,
10,2,0,2,0,2,0,0,0,
10,8,0,8,0,8,0,0,0,
10,12,0,12,0,12,0,0,0,
10,5,0,5,0,5,0,0,0,
10,56,0,56,0,56,0,1,0,
10,1,0,1,1,1,0,1,1,
10,1,0,1,0,1,0,0,0,
10,12,0,12,0,12,1,0,1,
10,24,0,24,0,24,0,0,1,
10,1,0,1,0,1,0,1,0,
10,2,0,2,0,2,0,0,1,
10,5,0,5,0,5,0,0,0,
10,10,0,10,0,10,0,0,0,
10,21,0,21,1,21,0,0,1,
10,3,0,3,0,3,0,0,0,
10,16,0,16,0,16,0,0,0,
10,18,0,18,0,18,0,1,1,
10,2,0,2,0,2,0,0,0,
10,15,0,15,0,15,0,1,3,
10,36,0,36,0,36,0,0,0,
10,2,0,2,0,2,0,0,0,
10,4,0,4,0,4,0,0,0,
10,4,0,4,0,4,0,0,0,
10,8,0,8,0,8,2,0,0,
10,8,0,8,0,8,1,0,0,
10,17,0,17,0,17,0,0,0,
10,6,0,6,0,6,0,0,0,
10,6,0,6,0,6,0,0,0,
10,6,0,6,0,6,0,0,0,
10,1,0,1,0,1,0,0,0,
10,4,0,4,0,4,0,0,1,
10,3,0,3,0,3,0,0,0,
10,30,0,30,0,30,0,0,1,
10,1,0,1,0,1,0,0,0,
10,20,0,20,0,20,0,0,0,
10,6,0,6,0,6,0,0,2,
10,12,0,12,0,12,0,0,0,
10,6,0,6,0,6,0,0,0,
10,3,0,3,1,3,0,0,0,
10,5,0,5,0,5,0,0,0,
10,4,0,4,0,4,0,1,0,
10,64,0,64,0,64,0,0,1,
10,4,0,4,1,4,0,1,1,
10,4,0,4,0,4,0,1,0,
10,36,0,36,0,36,0,0,0,
10,24,0,24,0,24,0,0,0,
10,6,0,6,0,6,0,0,0,
