n,|M(A)|,|M(A)A|,|M(B)|,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
14,8,0,8,0,8,0,0,0,
14,104,0,104,0,104,0,0,1,
14,16,0,16,0,16,0,0,0,
14,12,0,12,0,12,0,0,0,
14,8,0,8,0,8,0,1,0,
14,18,0,18,0,18,0,0,0,
14,12,0,12,0,12,0,0,1,
14,4,0,4,0,4,0,0,1,
14,64,0,64,0,64,0,0,0,
14,12,0,12,0,12,0,0,0,
14,4,0,4,0,4,1,0,0,
14,12,0,12,0,12,0,0,1,
14,4,0,4,0,4,1,0,0,
14,40,0,40,0,40,0,0,0,
14,4,0,4,0,4,0,0,0,
14,2,0,2,0,2,0,0,1,
14,72,0,72,0,72,0,0,0,
14,160,0,160,0,160,0,0,0,
14,28,0,28,0,28,0,0,1,
14,9,0,9,0,9,0,0,0,
14,24,0,24,0,24,1,0,0,
14,12,0,12,0,12,0,0,0,
14,8,0,8,0,8,0,1,0,
14,36,0,36,0,36,0,0,0,
14,18,0,18,0,18,0,0,0,
14,6,0,6,0,6,0,0,0,
14,36,0,36,0,36,0,0,1,
14,4,0,4,0,4,0,0,0,
14,4,0,4,0,4,0,0,1,
14,6,0,6,0,6,0,0,0,
14,4,0,4,0,4,0,0,0,
14,28,0,28,0,28,0,0,0,
14,2,0,2,0,2,0,1,1,
14,4,0,4,0,4,0,0,0,
14,2,0,2,1,2,0,0,0,
14,1,0,1,0,1,0,0,0,
14,24,0,24,0,24,0,0,0,
14,16,0,16,0,16,0,0,0,
14,20,0,20,0,20,0,0,0,
14,10,0,10,0,10,0,0,0,
14,120,0,120,0,120,0,1,2,
14,4,0,4,0,4,1,1,0,
14,18,0,18,0,18,0,0,0,
14,8,0,8,0,8,0,0,0,
14,2,0,2,0,2,0,0,0,
14,2,0,2,0,2,0,0,0,
14,6,0,6,0,6,0,0,0,
14,6,0,6,0,6,0,0,0,
14,36,0,36,0,36,0,0,1,
14,6,0,6,0,6,0,0,0,
