n,|M(A)|,D_ktA,|M(A)A|
10,3,77,0
10,3,55,0
10,1,67,0
10,3,77,0
10,1,76,0
10,2,70,0
10,2,54,0
10,1,80,0
10,1,77,0
10,3,65,0
10,2,79,0
10,1,83,0
10,1,72,0
10,5,81,0
10,1,75,0
10,2,64,0
10,1,86,0
10,2,82,0
10,1,63,0
10,30,82,0
10,2,65,0
10,1,68,0
10,1,67,0
10,5,69,0
10,1,81,0
10,1,76,0
10,2,75,0
10,1,59,0
10,4,82,0
10,5,70,0
10,1,84,0
10,3,72,0
10,1,62,0
10,2,82,0
10,4,65,0
10,3,75,0
10,8,62,0
10,4,87,0
10,1,57,0
10,2,76,0
10,2,87,0
10,3,65,0
10,3,74,0
10,1,77,0
10,1,76,0
10,2,64,0
10,5,78,0
10,1,70,0
10,1,68,0
10,2,73,0
10,2,69,0
10,3,69,0
10,8,85,0
10,1,69,0
10,2,78,0
10,2,78,0
10,1,82,0
10,1,60,0
10,1,75,0
10,5,84,0
10,1,87,0
10,3,73,0
10,4,67,0
10,1,62,0
10,2,80,0
10,1,65,0
10,1,68,0
10,3,74,0
10,5,83,0
10,1,48,0
10,3,59,0
10,1,65,0
10,1,82,0
10,1,63,0
10,2,71,0
10,2,76,0
10,1,77,0
10,1,84,0
10,5,81,0
10,2,70,0
10,1,71,0
10,9,60,0
10,1,63,0
10,2,70,0
10,5,75,0
10,1,61,0
10,3,68,0
10,2,77,0
10,5,81,0
10,3,75,0
10,3,75,0
10,1,75,0
10,3,74,0
10,4,68,0
10,1,60,0
10,1,75,0
10,2,80,0
10,1,74,0
10,1,68,0
10,1,69,0
