n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
6,2,63,0,2,54,2,2,1,0,0
6,2,60,0,2,63,0,2,0,0,0
6,2,53,0,2,59,0,2,0,1,0
6,2,63,0,2,54,0,2,0,0,0
6,3,52,0,3,62,0,3,0,0,0
6,12,60,0,12,61,1,12,0,1,1
6,1,45,0,1,65,0,1,0,0,0
6,2,59,0,2,61,1,2,0,0,0
6,2,62,0,2,62,1,2,0,0,2
6,1,61,0,1,55,1,1,0,0,1
6,12,55,0,12,56,1,12,1,0,0
6,2,58,0,2,52,0,2,0,1,1
6,4,52,0,4,51,0,4,0,0,1
6,10,57,0,10,58,0,10,0,1,0
6,1,62,0,1,58,0,1,0,0,0
6,3,56,0,3,56,1,3,0,0,1
6,5,70,0,5,66,1,5,0,0,0
6,3,56,0,3,60,0,3,0,0,0
6,2,63,0,2,62,0,2,0,0,0
6,1,52,1,1,58,0,1,0,0,0
6,3,60,0,3,64,0,3,0,0,0
6,1,60,0,1,52,1,1,0,1,1
6,4,61,0,4,53,0,4,0,0,1
6,2,59,0,2,47,2,2,0,0,1
6,2,54,0,2,51,0,2,0,0,0
6,4,55,0,4,57,0,4,0,1,0
6,1,48,0,1,51,1,1,0,0,0
6,2,63,0,2,58,1,2,0,1,2
6,6,61,0,6,59,0,6,0,0,0
6,1,53,1,1,64,0,1,0,0,0
6,2,60,0,2,54,0,2,0,1,0
6,2,59,0,2,53,0,2,0,0,0
6,1,53,0,1,53,1,1,0,0,0
6,4,63,0,4,59,0,4,0,0,0
6,8,56,0,8,60,1,8,0,1,0
6,10,56,0,10,59,0,10,0,0,0
6,5,56,0,5,62,1,5,1,1,0
6,4,61,0,4,58,0,4,0,2,2
6,7,61,0,7,54,0,7,0,1,0
6,1,55,0,1,65,2,1,1,0,0
6,2,52,0,2,57,0,2,0,0,0
6,6,66,0,6,58,0,6,0,2,2
6,1,60,1,1,68,3,1,0,0,1
6,3,57,0,3,56,1,3,0,0,1
6,3,59,0,3,63,0,3,0,0,0
6,1,57,0,1,48,1,1,0,0,0
6,2,62,0,2,60,0,2,0,1,0
6,1,62,0,1,59,1,1,0,0,0
6,1,54,0,1,48,1,1,0,0,0
6,11,51,0,11,54,1,11,1,0,0
6,3,54,0,3,61,1,3,0,0,0
6,2,61,0,2,56,0,2,0,0,2
6,1,51,0,1,60,1,1,0,0,0
6,1,61,1,1,55,0,1,0,0,0
6,2,59,0,2,52,2,2,0,1,1
6,1,65,0,1,60,1,1,0,0,0
6,13,59,0,13,59,0,13,0,1,2
6,12,65,0,12,58,0,12,1,0,2
6,6,60,0,6,54,0,6,0,0,0
6,2,55,0,2,60,1,2,0,0,0
6,2,56,0,2,52,0,2,0,0,0
6,1,51,0,1,44,0,1,0,0,0
6,1,54,0,1,53,1,1,0,0,0
6,8,54,0,8,63,0,8,1,0,0
6,1,53,0,1,57,0,1,0,0,0
6,4,52,0,4,60,0,4,0,0,0
6,9,59,0,9,55,0,9,0,1,0
6,10,62,0,10,57,1,10,0,1,0
6,2,54,1,2,55,1,2,0,0,0
6,1,55,0,1,65,0,1,1,0,0
6,1,42,0,1,59,1,1,1,0,0
6,8,59,0,8,58,0,8,1,0,0
6,2,59,0,2,63,0,2,0,0,1
6,3,58,0,3,52,1,3,0,2,2
6,2,56,1,2,57,0,2,0,0,0
6,2,58,0,2,59,0,2,0,0,0
6,3,56,0,3,55,1,3,0,0,0
6,5,60,0,5,63,1,5,0,1,0
6,18,65,0,18,59,1,18,0,3,4
6,6,53,0,6,61,1,6,0,1,0
6,8,59,0,8,67,0,8,0,0,0
6,1,54,0,1,61,0,1,0,0,0
6,6,62,0,6,63,0,6,0,0,4
6,12,57,0,12,66,2,12,2,1,0
6,1,59,0,1,54,0,1,0,1,0
6,8,52,0,8,55,1,8,0,0,0
6,1,58,0,1,60,1,1,0,0,1
6,6,47,0,6,65,0,6,2,0,0
6,2,59,0,2,58,1,2,0,0,0
6,3,59,0,3,62,1,3,0,0,0
6,9,51,0,9,55,0,9,1,0,0
6,2,55,0,2,64,1,2,0,0,0
6,4,58,0,4,55,1,4,0,0,0
6,2,60,0,2,55,0,2,1,0,0
6,3,51,0,3,59,0,3,1,0,0
6,1,61,1,1,43,0,1,0,1,0
6,13,60,0,13,56,0,13,0,0,0
6,3,53,0,3,60,0,3,1,0,0
6,2,62,0,2,51,1,2,0,0,1
6,2,58,0,2,57,0,2,0,0,0
