n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
5,2,22,0,2,15,0,2,0,0,1
5,1,16,0,1,13,0,1,0,1,0
5,2,13,0,2,14,1,2,1,1,0
5,1,19,0,1,14,0,1,0,0,1
5,3,18,0,3,14,1,3,0,2,1
5,3,18,0,3,15,1,3,0,0,0
5,1,15,0,1,12,1,1,0,1,0
5,12,18,0,12,15,0,12,1,1,0
5,3,17,0,3,20,1,3,2,0,0
5,2,19,0,2,15,0,2,0,1,1
5,2,17,0,2,12,0,2,0,1,0
5,3,9,0,3,17,0,3,1,0,0
5,4,16,0,4,15,2,4,0,1,1
5,4,9,0,4,15,1,4,1,1,0
5,4,12,0,4,17,0,4,1,0,0
5,5,17,0,5,15,0,5,0,0,0
5,1,22,0,1,16,1,1,0,0,0
5,1,16,0,1,17,0,1,1,0,0
5,1,19,1,1,15,2,1,0,1,0
5,5,16,0,5,19,0,5,0,1,1
5,2,14,0,2,15,0,2,0,0,0
5,8,17,0,8,14,1,8,0,3,1
5,16,19,0,16,19,1,16,2,0,0
5,2,17,0,2,18,0,2,0,1,0
5,4,15,0,4,20,0,4,0,0,0
5,2,17,0,2,15,1,2,0,0,0
5,15,16,0,15,19,0,15,1,2,0
5,3,13,0,3,16,0,3,0,0,0
5,3,19,0,3,18,0,3,0,0,1
5,1,21,0,1,13,0,1,1,0,0
5,3,15,0,3,15,0,3,0,1,0
5,15,21,0,15,21,0,15,1,3,3
5,7,19,1,7,19,1,7,2,1,4
5,1,19,0,1,14,1,1,0,1,1
5,1,17,0,1,17,0,1,0,0,0
5,4,9,0,4,18,1,4,1,0,0
5,2,15,0,2,18,1,2,1,0,0
5,3,13,0,3,15,1,3,1,0,0
5,1,17,0,1,9,0,1,0,1,0
5,8,19,0,8,16,0,8,0,1,2
5,1,14,0,1,10,1,1,1,0,0
5,3,16,0,3,16,0,3,0,1,0
5,2,20,0,2,17,2,2,1,1,1
5,7,19,0,7,14,1,7,1,1,1
5,2,20,0,2,16,1,2,1,0,0
5,3,17,0,3,14,0,3,0,0,0
5,4,13,0,4,14,0,4,2,0,0
5,2,13,0,2,14,1,2,0,1,1
5,7,16,0,7,18,1,7,0,0,0
5,1,14,0,1,17,1,1,0,0,0
5,1,20,0,1,18,1,1,1,0,0
5,2,17,1,2,16,0,2,1,0,1
5,6,9,0,6,15,1,6,2,0,0
5,2,13,0,2,18,0,2,0,0,0
5,4,18,0,4,18,0,4,0,0,0
5,1,13,0,1,19,1,1,1,0,0
5,3,16,0,3,16,0,3,1,1,0
5,2,20,0,2,12,1,2,0,1,1
5,1,14,0,1,16,0,1,1,0,0
5,3,19,0,3,17,0,3,0,1,0
5,3,22,0,3,15,0,3,0,0,1
5,3,12,0,3,13,0,3,0,0,0
5,4,19,0,4,18,1,4,0,0,0
5,2,17,0,2,13,0,2,0,1,0
5,2,18,0,2,15,1,2,1,0,0
5,8,19,0,8,16,0,8,0,1,1
5,2,16,0,2,16,0,2,0,0,0
5,8,12,0,8,12,0,8,1,0,0
5,2,18,0,2,16,1,2,0,0,0
5,1,17,0,1,19,1,1,0,0,0
5,1,15,0,1,18,0,1,1,0,0
5,2,18,0,2,15,0,2,0,1,0
5,4,15,0,4,15,0,4,2,2,0
5,6,19,0,6,16,1,6,2,1,0
5,1,19,0,1,21,0,1,0,0,0
5,3,17,0,3,17,0,3,0,0,0
5,10,13,0,10,18,0,10,1,0,0
5,2,11,0,2,15,0,2,2,1,0
5,4,16,1,4,18,1,4,1,0,1
5,2,15,0,2,15,0,2,0,1,0
5,2,13,0,2,18,0,2,0,0,0
5,1,14,0,1,16,0,1,0,0,0
5,4,18,0,4,16,1,4,0,2,2
5,3,19,0,3,17,0,3,0,0,0
5,2,16,0,2,15,0,2,0,0,0
5,3,15,0,3,13,1,3,0,1,0
5,1,18,0,1,12,1,1,0,1,1
5,1,19,0,1,18,0,1,1,0,0
5,1,18,0,1,17,0,1,0,0,0
5,2,15,0,2,16,0,2,0,0,0
5,3,16,0,3,13,0,3,0,0,1
5,1,15,0,1,17,1,1,1,0,0
5,7,16,0,7,18,1,7,2,0,0
5,3,18,0,3,17,0,3,1,0,0
5,1,17,0,1,16,0,1,1,0,0
5,1,16,0,1,13,1,1,0,0,0
5,4,19,0,4,16,1,4,0,3,1
5,1,16,0,1,18,0,1,1,0,0
5,2,15,0,2,17,1,2,0,1,0
5,1,21,0,1,21,0,1,0,0,0
