n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
6,1,16,0,1,13,2,1,0,0,0
6,5,23,0,5,21,2,5,1,0,3
6,24,18,0,24,24,1,24,1,1,5
6,6,22,0,6,9,0,6,0,0,2
6,10,16,0,10,22,0,10,1,0,0
6,5,15,0,5,19,1,5,0,1,3
6,8,22,0,8,15,2,8,1,0,0
6,15,17,0,15,18,1,15,0,0,0
6,8,16,0,8,18,2,8,1,0,0
6,18,24,0,18,19,2,18,0,1,6
6,15,21,0,15,20,0,15,1,1,5
6,3,19,1,3,23,1,3,1,0,1
6,3,21,0,3,18,1,3,0,1,2
6,4,18,0,4,16,1,4,0,0,1
6,4,19,0,4,22,1,4,0,1,1
6,7,11,0,7,23,1,7,1,1,1
6,8,16,0,8,18,0,8,0,1,0
6,22,20,0,22,17,0,22,0,2,0
6,5,21,0,5,22,1,5,0,1,0
6,3,24,0,3,21,0,3,0,0,1
6,5,14,0,5,15,1,5,0,0,0
6,12,12,0,12,13,2,12,0,0,0
6,2,16,0,2,15,1,2,0,1,0
6,7,18,0,7,17,1,7,1,0,1
6,1,21,0,1,19,1,1,0,0,1
6,3,13,0,3,18,0,3,0,0,0
6,10,18,0,10,15,1,10,1,1,4
6,8,18,0,8,24,2,8,0,1,3
6,6,23,0,6,19,1,6,0,1,5
6,10,19,0,10,19,1,10,0,1,2
6,5,21,1,5,24,1,5,0,0,5
6,6,20,0,6,15,0,6,0,0,1
6,1,18,0,1,14,1,1,0,0,0
6,4,25,0,4,24,2,4,0,1,4
6,2,20,0,2,19,1,2,1,0,0
6,6,14,0,6,20,1,6,1,0,0
6,5,17,0,5,19,0,5,0,0,0
6,2,19,0,2,19,1,2,0,1,1
6,10,22,0,10,18,1,10,0,0,6
6,3,10,0,3,16,1,3,2,0,0
6,1,19,0,1,21,0,1,0,1,0
6,4,22,0,4,15,1,4,0,1,1
6,6,19,2,6,21,2,6,2,0,6
6,1,19,0,1,18,1,1,0,0,0
6,7,21,0,7,19,2,7,0,0,4
6,4,18,0,4,21,1,4,1,0,0
6,4,14,0,4,16,1,4,1,0,0
6,14,19,0,14,17,0,14,0,0,0
6,2,18,0,2,19,0,2,0,1,1
6,1,15,0,1,19,1,1,0,0,1
6,5,14,0,5,17,1,5,0,0,0
6,5,20,0,5,20,0,5,0,0,1
6,4,17,0,4,23,2,4,0,0,2
6,5,21,0,5,21,0,5,0,0,0
6,2,21,0,2,18,0,2,0,0,2
6,3,19,0,3,20,0,3,0,0,2
6,3,20,0,3,11,0,3,0,0,1
6,4,19,0,4,18,2,4,0,1,4
6,9,28,0,9,17,2,9,0,2,9
6,2,14,0,2,17,0,2,1,0,1
6,4,20,0,4,20,0,4,0,0,2
6,3,16,0,3,15,1,3,0,0,2
6,2,22,0,2,21,2,2,1,0,0
6,10,22,0,10,19,0,10,0,0,0
6,4,23,0,4,20,2,4,0,2,4
6,1,25,1,1,17,0,1,1,0,1
6,4,24,0,4,10,1,4,1,1,1
6,1,19,0,1,20,2,1,0,1,0
6,1,18,0,1,18,2,1,0,1,1
6,6,16,0,6,19,2,6,0,0,0
6,3,19,0,3,13,1,3,1,0,0
6,7,20,0,7,16,0,7,0,1,5
6,2,19,0,2,18,1,2,0,0,0
6,2,16,0,2,11,0,2,0,1,0
6,2,18,0,2,14,1,2,0,0,0
6,10,19,0,10,14,1,10,0,0,2
6,2,20,0,2,17,1,2,0,0,0
6,12,20,0,12,19,1,12,0,0,1
6,4,15,0,4,18,1,4,0,0,0
6,3,23,0,3,20,0,3,0,0,2
6,3,15,0,3,16,1,3,0,0,0
6,27,21,0,27,19,1,27,0,1,4
6,22,25,0,22,18,0,22,0,0,8
6,15,23,0,15,22,0,15,0,0,15
6,3,17,0,3,18,0,3,0,0,1
6,5,20,0,5,20,1,5,0,0,3
6,18,23,0,18,20,1,18,1,0,0
6,2,19,0,2,21,2,2,0,0,2
6,23,16,0,23,19,1,23,1,1,1
6,3,19,0,3,17,1,3,0,0,1
6,4,18,0,4,13,0,4,0,1,1
6,8,20,0,8,19,1,8,0,0,0
6,3,17,1,3,27,2,3,0,0,3
6,2,17,0,2,15,1,2,0,0,0
6,2,20,0,2,16,1,2,0,0,0
6,3,23,0,3,19,2,3,0,1,2
6,6,20,0,6,17,1,6,0,0,0
6,12,20,1,12,21,1,12,1,0,9
6,6,17,0,6,27,2,6,0,0,0
6,1,18,0,1,19,0,1,0,0,0
