n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
7,42,39,0,42,31,0,42,0,2,1
7,6,38,0,6,24,0,6,0,2,0
7,2,37,0,2,36,1,2,0,0,0
7,3,36,0,3,29,0,3,0,0,1
7,1,24,0,1,39,0,1,0,0,0
7,6,42,0,6,32,0,6,0,1,1
7,8,32,0,8,30,0,8,0,1,0
7,2,31,0,2,33,0,2,0,1,0
7,10,33,0,10,41,0,10,0,0,0
7,4,39,0,4,32,0,4,0,0,0
7,18,42,0,18,38,0,18,0,0,1
7,8,36,0,8,29,0,8,0,1,0
7,13,36,0,13,33,0,13,0,0,0
7,1,33,0,1,34,1,1,0,0,0
7,12,32,0,12,35,0,12,0,0,0
7,4,33,0,4,31,1,4,0,0,0
7,8,32,0,8,33,0,8,0,0,0
7,33,29,0,33,28,0,33,0,0,0
7,6,26,0,6,33,0,6,0,0,0
7,15,24,0,15,33,0,15,0,0,0
7,1,36,0,1,28,0,1,0,0,0
7,1,34,0,1,30,0,1,0,0,0
7,3,30,0,3,34,0,3,0,0,1
7,5,30,0,5,36,0,5,0,0,0
7,3,43,0,3,40,0,3,0,0,0
7,21,35,0,21,36,0,21,0,0,0
7,2,37,0,2,28,0,2,0,0,0
7,3,34,0,3,31,0,3,0,0,0
7,1,40,0,1,32,0,1,0,0,0
7,1,29,0,1,30,0,1,0,0,0
7,6,37,0,6,31,0,6,0,1,1
7,10,33,0,10,33,0,10,0,0,1
7,2,32,0,2,30,0,2,0,0,0
7,2,35,0,2,28,0,2,0,0,0
7,13,34,0,13,42,0,13,0,0,0
7,16,30,0,16,40,0,16,0,0,0
7,32,44,0,32,36,0,32,0,0,1
7,40,40,0,40,34,0,40,1,0,4
7,2,31,0,2,31,0,2,0,0,0
7,24,26,0,24,36,0,24,0,0,0
7,6,35,0,6,31,0,6,0,0,0
7,9,31,0,9,39,0,9,0,0,0
7,5,30,0,5,29,1,5,0,2,1
7,2,35,0,2,27,0,2,0,0,0
7,7,39,0,7,35,0,7,0,0,1
7,12,25,0,12,35,0,12,1,0,0
7,3,27,0,3,37,0,3,1,0,0
7,6,26,0,6,37,0,6,1,0,0
7,6,40,0,6,35,0,6,0,0,0
7,6,32,0,6,35,0,6,0,0,0
7,15,42,0,15,31,0,15,0,0,0
7,6,35,0,6,36,0,6,0,0,0
7,12,38,0,12,32,0,12,0,0,0
7,6,32,0,6,34,1,6,0,0,0
7,10,36,0,10,32,0,10,0,0,0
7,6,31,0,6,36,0,6,0,0,0
7,10,39,0,10,33,0,10,0,0,0
7,20,38,0,20,30,0,20,0,2,1
7,1,35,0,1,34,0,1,0,0,0
7,2,40,0,2,38,0,2,1,0,0
7,9,32,0,9,36,0,9,0,0,0
7,3,32,0,3,34,0,3,0,0,0
7,5,36,0,5,40,0,5,0,0,0
7,18,38,0,18,32,0,18,0,0,1
7,4,32,0,4,36,0,4,0,0,0
7,37,29,0,37,31,1,37,0,0,0
7,1,38,0,1,41,0,1,0,0,0
7,130,33,0,130,31,0,130,2,0,0
7,9,32,0,9,27,1,9,0,0,0
7,51,36,0,51,38,1,51,0,0,0
7,18,31,0,18,36,0,18,0,0,0
7,1,35,0,1,33,0,1,0,0,0
7,6,32,0,6,32,0,6,0,0,0
7,12,37,0,12,34,0,12,0,0,0
7,15,38,0,15,35,0,15,0,0,0
7,3,43,0,3,27,0,3,0,0,1
7,24,35,0,24,31,0,24,0,0,0
7,36,34,0,36,38,1,36,1,0,0
7,5,42,0,5,29,0,5,0,1,0
7,3,34,0,3,36,0,3,0,0,0
7,54,37,0,54,37,1,54,0,1,0
7,2,27,0,2,35,0,2,1,0,0
7,18,42,0,18,35,0,18,0,1,1
7,15,38,0,15,41,0,15,0,0,0
7,3,37,0,3,28,1,3,0,0,0
7,2,32,0,2,37,0,2,0,0,0
7,1,42,0,1,33,0,1,0,0,0
7,5,38,0,5,40,0,5,0,0,0
7,4,30,0,4,39,0,4,0,0,0
7,14,36,0,14,36,0,14,0,0,0
7,2,41,0,2,31,1,2,0,1,1
7,12,37,0,12,32,1,12,0,0,0
7,12,41,0,12,36,0,12,0,0,1
7,6,39,0,6,36,0,6,0,0,0
7,3,35,0,3,37,1,3,0,0,0
7,1,32,0,1,37,0,1,0,0,0
7,6,31,0,6,34,0,6,0,0,0
7,2,29,0,2,32,0,2,0,0,0
7,3,38,0,3,33,1,3,0,1,1
7,2,31,0,2,30,0,2,1,0,0
