n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
5,1,29,1,1,33,1,1,1,0,1
5,2,30,1,2,28,0,2,0,0,1
5,5,33,0,5,35,2,5,0,0,2
5,1,35,0,1,31,2,1,0,1,1
5,1,31,0,1,28,3,1,0,1,1
5,1,30,0,1,30,2,1,0,0,0
5,1,33,0,1,24,1,1,0,0,0
5,3,28,0,3,30,1,3,1,1,0
5,2,28,0,2,27,1,2,0,0,0
5,1,34,0,1,31,0,1,0,0,1
5,3,31,0,3,28,0,3,1,1,1
5,2,26,0,2,28,1,2,1,0,1
5,2,25,1,2,30,2,2,2,0,0
5,1,31,0,1,32,2,1,1,0,0
5,1,26,0,1,25,1,1,1,0,0
5,1,31,0,1,31,0,1,0,1,0
5,4,30,0,4,33,0,4,1,1,1
5,3,32,0,3,33,1,3,0,1,1
5,4,27,0,4,26,2,4,1,2,1
5,6,24,0,6,26,0,6,1,0,0
5,1,30,1,1,34,0,1,1,0,1
5,2,29,0,2,26,2,2,0,1,1
5,1,33,1,1,30,1,1,0,0,0
5,3,32,0,3,28,1,3,0,1,1
5,1,31,0,1,29,1,1,0,1,0
5,3,28,0,3,24,1,3,1,1,1
5,1,26,0,1,29,2,1,0,1,0
5,2,34,0,2,29,1,2,1,1,1
5,3,24,0,3,25,1,3,1,1,0
5,6,33,0,6,27,1,6,1,0,0
5,6,28,0,6,31,1,6,0,2,0
5,1,33,0,1,34,0,1,0,0,0
5,2,22,0,2,31,1,2,2,0,0
5,1,34,0,1,29,0,1,0,0,0
5,6,26,0,6,26,1,6,1,0,1
5,1,33,0,1,24,1,1,0,1,1
5,5,30,0,5,27,3,5,0,2,3
5,6,35,0,6,27,1,6,1,1,1
5,3,28,1,3,35,2,3,2,0,0
5,8,30,0,8,25,1,8,0,2,2
5,1,29,0,1,23,1,1,1,0,0
5,7,33,0,7,26,3,7,0,3,3
5,13,36,0,13,34,0,13,2,1,2
5,4,32,0,4,31,1,4,0,0,0
5,3,23,0,3,31,0,3,3,1,0
5,1,30,1,1,35,1,1,1,0,1
5,1,26,0,1,27,3,1,1,0,0
5,1,30,0,1,26,1,1,0,1,1
5,1,31,0,1,35,3,1,0,1,1
5,1,29,0,1,29,0,1,0,0,0
5,1,26,0,1,25,1,1,1,0,0
5,1,30,0,1,33,1,1,0,0,0
5,2,29,0,2,34,3,2,0,0,0
5,1,31,0,1,31,0,1,0,0,0
5,2,34,0,2,32,1,2,0,1,2
5,3,32,0,3,29,1,3,1,0,0
5,1,29,0,1,31,0,1,0,0,1
5,2,27,0,2,33,0,2,0,0,0
5,5,35,1,5,33,2,5,1,0,1
5,3,27,0,3,32,1,3,1,0,0
5,5,26,0,5,33,2,5,1,0,0
5,1,31,0,1,25,2,1,0,1,1
5,1,25,0,1,28,1,1,1,0,0
5,2,30,0,2,26,0,2,0,0,0
5,4,34,1,4,33,1,4,0,1,3
5,2,32,1,2,27,3,2,1,2,2
5,1,25,0,1,30,3,1,0,0,0
5,1,25,4,1,37,2,1,1,0,1
5,1,33,0,1,29,1,1,0,0,1
5,2,25,0,2,34,1,2,1,1,0
5,4,29,1,4,34,2,4,1,1,0
5,1,31,1,1,27,2,1,1,0,0
5,1,22,0,1,30,1,1,1,0,0
5,8,35,0,8,30,0,8,3,1,0
5,3,26,0,3,33,1,3,1,1,0
5,2,27,0,2,33,2,2,0,0,0
5,1,28,0,1,24,0,1,0,1,0
5,2,29,0,2,20,1,2,1,1,1
5,2,29,1,2,31,0,2,1,0,1
5,1,29,0,1,24,3,1,0,1,1
5,2,31,0,2,28,0,2,0,0,2
5,3,28,0,3,29,2,3,2,1,0
5,1,30,0,1,20,3,1,0,1,1
5,1,34,1,1,23,1,1,0,0,0
5,1,26,0,1,31,2,1,0,0,0
5,2,32,0,2,27,3,2,0,2,2
5,3,25,0,3,32,1,3,1,1,0
5,1,23,2,1,33,2,1,1,0,1
5,1,32,0,1,29,1,1,0,0,0
5,1,30,0,1,27,0,1,0,0,0
5,3,33,0,3,27,3,3,0,1,3
5,1,29,0,1,29,1,1,1,0,0
5,1,26,2,1,29,2,1,1,0,1
5,1,29,0,1,23,2,1,0,1,1
5,5,30,0,5,31,1,5,2,1,0
5,4,29,0,4,32,1,4,1,0,0
5,2,31,1,2,30,1,2,0,0,2
5,1,35,0,1,24,1,1,0,0,1
5,1,34,0,1,29,1,1,0,1,1
5,2,33,0,2,29,1,2,0,0,0
