n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
4,1,23,1,1,17,2,1,1,1,1
4,2,19,1,2,19,1,2,2,2,1
4,2,18,1,2,24,2,2,2,2,1
4,4,23,0,4,22,1,4,2,3,1
4,2,23,2,2,21,3,2,1,2,2
4,1,22,1,1,22,2,1,0,1,0
4,1,23,2,1,26,4,1,1,1,1
4,2,22,2,2,19,2,2,2,2,2
4,3,24,1,3,22,0,3,2,2,1
4,1,22,0,1,22,2,1,1,0,0
4,1,25,1,1,25,1,1,1,1,1
4,1,21,1,1,24,2,1,1,1,0
4,3,23,0,3,20,1,3,2,2,1
4,3,26,1,3,24,2,3,2,2,0
4,1,24,1,1,17,2,1,0,1,1
4,2,24,1,2,18,3,2,0,2,1
4,1,23,0,1,21,1,1,1,1,0
4,3,22,0,3,25,1,3,3,2,0
4,1,24,2,1,22,2,1,1,1,1
4,1,23,0,1,23,2,1,1,1,0
4,1,26,0,1,20,2,1,1,1,0
4,1,27,0,1,18,1,1,0,1,1
4,6,26,1,6,21,3,6,2,5,3
4,2,20,2,2,22,1,2,2,1,2
4,1,24,1,1,21,2,1,0,1,1
4,3,19,1,3,23,2,3,3,1,1
4,3,21,2,3,24,2,3,3,2,2
4,2,19,1,2,21,3,2,2,1,1
4,1,18,1,1,24,1,1,1,1,0
4,1,24,1,1,24,2,1,1,0,0
4,2,20,2,2,20,2,2,1,1,0
4,2,24,1,2,21,2,2,1,2,1
4,1,21,2,1,26,3,1,1,0,1
4,2,24,0,2,21,1,2,1,1,1
4,5,26,1,5,20,2,5,3,4,2
4,2,24,0,2,24,2,2,2,1,0
4,1,18,0,1,20,2,1,0,1,1
4,1,21,1,1,18,1,1,1,1,0
4,3,23,3,3,26,3,3,3,3,3
4,8,24,0,8,21,3,8,2,6,4
4,1,18,0,1,21,1,1,1,1,0
4,1,25,0,1,20,2,1,0,1,1
4,1,21,1,1,23,2,1,1,1,1
4,1,23,1,1,21,1,1,0,1,0
4,1,23,2,1,28,3,1,0,1,1
4,24,25,1,24,25,3,24,10,10,5
4,1,20,0,1,26,1,1,1,1,0
4,2,23,0,2,24,3,2,2,1,0
4,1,23,2,1,26,5,1,1,1,1
4,1,19,1,1,26,5,1,1,1,1
4,3,17,0,3,26,2,3,3,2,0
4,5,22,3,5,22,4,5,4,5,4
4,1,20,1,1,27,3,1,1,1,0
4,1,23,1,1,25,1,1,1,0,0
4,1,24,1,1,22,1,1,1,1,0
4,2,19,0,2,20,1,2,2,1,0
4,1,22,0,1,22,2,1,1,0,0
4,5,23,0,5,22,1,5,3,3,2
4,8,22,0,8,28,3,8,5,3,1
4,6,26,2,6,26,3,6,4,5,3
4,2,26,1,2,20,1,2,2,1,1
4,2,20,2,2,25,3,2,2,2,1
4,1,23,1,1,18,1,1,0,1,0
4,4,24,0,4,23,2,4,2,4,2
4,3,23,0,3,20,2,3,2,3,1
4,1,25,1,1,20,2,1,1,0,0
4,3,18,0,3,25,2,3,2,2,0
4,1,26,2,1,24,5,1,1,0,0
4,1,21,1,1,23,0,1,1,0,1
4,1,20,0,1,24,3,1,0,1,0
4,3,24,1,3,26,3,3,2,2,2
4,1,24,3,1,21,3,1,1,0,1
4,1,26,1,1,20,1,1,1,1,1
4,3,20,0,3,22,1,3,2,1,0
4,1,22,1,1,26,2,1,0,1,0
4,2,25,2,2,24,3,2,1,1,2
4,1,22,0,1,23,3,1,1,1,0
4,3,21,1,3,19,1,3,2,2,1
4,1,23,0,1,21,2,1,0,1,0
4,2,22,0,2,18,2,2,1,2,1
4,3,28,0,3,26,1,3,1,2,0
4,3,25,0,3,26,1,3,1,2,0
4,3,22,1,3,19,1,3,3,2,1
4,1,24,3,1,25,4,1,1,1,0
4,1,24,1,1,23,2,1,0,1,0
4,2,22,2,2,20,2,2,2,2,2
4,1,19,1,1,20,1,1,1,1,0
4,1,27,0,1,19,1,1,0,1,0
4,4,22,0,4,22,0,4,3,2,0
4,1,21,0,1,22,1,1,1,1,0
4,1,27,1,1,20,1,1,1,1,1
4,1,22,2,1,25,3,1,1,1,0
4,3,24,0,3,25,2,3,2,3,1
4,3,20,0,3,24,1,3,3,3,0
4,1,28,0,1,23,2,1,0,1,1
4,1,23,2,1,26,5,1,1,1,1
4,2,18,2,2,21,2,2,2,2,1
4,2,24,3,2,24,3,2,2,1,2
4,1,22,1,1,26,2,1,1,0,0
4,1,24,2,1,23,3,1,0,1,1
