n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
9,19,73,0,19,73,0,19,0,0,0
9,6,69,0,6,67,0,6,0,0,0
9,170,66,0,170,81,0,170,0,0,0
9,4,77,0,4,76,1,4,0,0,0
9,5,78,0,5,67,0,5,0,0,0
9,19,70,0,19,80,0,19,0,0,0
9,1,63,0,1,70,0,1,0,0,0
9,3,71,0,3,88,0,3,0,0,0
9,3,82,0,3,64,0,3,0,0,2
9,18,69,0,18,73,0,18,0,0,0
9,6,68,0,6,68,0,6,0,0,0
9,5,69,0,5,70,1,5,0,0,0
9,3,91,0,3,82,0,3,0,0,0
9,11,74,0,11,72,0,11,0,0,0
9,25,83,0,25,63,0,25,0,0,6
9,4,69,0,4,81,1,4,0,0,0
9,25,77,0,25,63,0,25,0,0,0
9,2,74,0,2,74,0,2,0,0,0
9,4,70,0,4,73,0,4,0,0,2
9,2,78,0,2,79,0,2,0,0,0
9,6,70,0,6,67,0,6,0,0,0
9,9,66,0,9,87,0,9,0,0,0
9,5,67,0,5,79,0,5,0,0,0
9,2,72,0,2,79,0,2,0,0,0
9,1,63,0,1,61,0,1,0,0,0
9,8,80,0,8,85,0,8,0,0,0
9,11,82,0,11,77,1,11,0,0,0
9,5,77,0,5,83,0,5,0,0,4
9,6,75,0,6,66,0,6,0,0,1
9,9,75,0,9,75,0,9,0,0,0
9,8,75,0,8,60,0,8,0,0,8
9,9,84,0,9,78,0,9,0,0,0
9,8,68,0,8,72,0,8,0,0,0
9,8,70,0,8,76,0,8,0,0,0
9,19,88,0,19,76,1,19,0,0,0
9,1,66,0,1,82,0,1,0,0,0
9,10,68,0,10,84,1,10,0,0,0
9,1,73,0,1,58,0,1,0,0,0
9,3,71,0,3,86,0,3,0,0,0
9,16,66,0,16,86,0,16,0,0,0
9,4,61,0,4,89,0,4,1,0,0
9,3,56,0,3,78,0,3,0,0,0
9,17,84,0,17,77,0,17,0,0,0
9,6,84,0,6,77,0,6,0,0,0
9,18,68,0,18,72,0,18,0,0,0
9,4,61,0,4,81,0,4,0,0,1
9,2,76,0,2,68,1,2,0,0,1
9,10,63,0,10,74,0,10,0,0,1
9,3,72,0,3,66,0,3,0,0,0
9,48,77,0,48,86,0,48,0,0,0
9,4,72,0,4,81,0,4,0,0,0
9,9,85,0,9,76,0,9,0,0,3
9,8,79,0,8,66,0,8,0,0,0
9,9,75,0,9,70,0,9,0,0,0
9,12,75,0,12,72,0,12,0,0,0
9,16,68,0,16,74,0,16,1,0,0
9,29,83,0,29,78,0,29,0,0,0
9,11,82,0,11,72,0,11,0,0,0
9,8,61,0,8,80,0,8,0,0,0
9,18,81,0,18,74,1,18,0,0,0
9,14,81,0,14,71,0,14,1,0,0
9,14,64,0,14,66,0,14,0,0,0
9,12,78,0,12,72,0,12,0,0,3
9,9,67,0,9,59,0,9,0,0,0
9,12,79,0,12,82,1,12,0,0,2
9,7,70,0,7,72,0,7,0,0,0
9,12,73,0,12,69,0,12,0,0,0
9,3,74,0,3,78,1,3,0,0,0
9,1,76,0,1,59,0,1,0,0,0
9,12,77,0,12,74,0,12,0,0,0
9,2,48,0,2,73,0,2,0,0,0
9,190,73,0,190,79,0,190,0,0,0
9,8,70,0,8,69,0,8,0,0,0
9,21,68,0,21,71,0,21,0,0,0
9,4,82,0,4,65,0,4,0,0,0
9,30,73,0,30,68,0,30,0,0,0
9,2,74,0,2,72,0,2,0,0,0
9,7,69,0,7,67,0,7,0,0,0
9,10,71,0,10,74,0,10,0,0,0
9,2,65,0,2,83,0,2,0,0,0
9,9,80,0,9,87,1,9,0,0,0
9,24,76,0,24,63,0,24,0,0,0
9,18,58,0,18,75,0,18,0,0,0
9,12,87,0,12,71,0,12,0,0,0
9,12,78,0,12,72,0,12,0,0,0
9,12,72,0,12,72,0,12,0,0,1
9,24,82,0,24,88,0,24,0,0,0
9,18,77,0,18,70,0,18,0,0,0
9,35,69,0,35,67,0,35,0,0,0
9,9,77,0,9,73,0,9,0,0,0
9,1,67,0,1,84,0,1,0,0,0
9,8,59,0,8,69,0,8,0,0,0
9,4,72,0,4,59,0,4,0,0,0
9,2,71,0,2,68,0,2,0,0,0
9,12,75,0,12,71,0,12,0,0,0
9,68,68,0,68,70,0,68,0,0,0
9,8,71,0,8,84,1,8,0,0,0
9,16,78,0,16,74,0,16,0,0,0
9,18,56,0,18,67,0,18,0,0,0
9,8,86,0,8,73,0,8,0,0,0
