n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
5,2,11,1,2,14,1,2,0,0,0
5,2,10,1,2,13,1,2,0,0,0
5,1,5,2,1,15,2,1,1,0,1
5,2,12,0,2,16,1,2,0,0,0
5,18,14,0,18,10,2,18,1,2,3
5,8,13,0,8,8,2,8,1,0,0
5,2,11,0,2,13,1,2,0,0,0
5,10,14,0,10,13,2,10,0,1,3
5,1,8,0,1,6,2,1,0,0,0
5,3,12,0,3,13,2,3,0,0,2
5,3,12,0,3,11,1,3,0,0,0
5,12,12,0,12,16,1,12,1,1,0
5,1,9,0,1,15,1,1,0,0,0
5,8,16,0,8,11,1,8,0,1,2
5,1,16,0,1,6,1,1,0,1,1
5,3,16,0,3,10,1,3,0,1,1
5,10,13,0,10,16,2,10,2,0,0
5,8,11,0,8,9,1,8,0,2,1
5,18,13,0,18,11,3,18,0,2,3
5,2,11,0,2,15,1,2,0,0,0
5,1,7,0,1,10,2,1,1,0,0
5,1,16,1,1,10,2,1,1,1,1
5,1,15,1,1,15,1,1,1,0,1
5,2,6,0,2,10,1,2,2,0,0
5,1,8,0,1,12,2,1,1,0,0
5,5,12,0,5,15,2,5,0,1,0
5,8,13,0,8,10,2,8,0,1,1
5,1,17,0,1,11,1,1,0,1,1
5,3,8,0,3,15,2,3,2,0,0
5,2,16,0,2,7,2,2,0,1,2
5,4,14,0,4,12,1,4,0,0,2
5,3,12,1,3,13,1,3,1,1,2
5,8,17,0,8,16,2,8,0,1,8
5,1,12,0,1,14,2,1,1,0,0
5,1,12,1,1,13,2,1,0,0,1
5,3,17,0,3,8,1,3,0,2,2
5,4,12,0,4,12,1,4,0,0,1
5,1,14,0,1,17,2,1,0,1,1
5,2,15,1,2,13,1,2,0,0,2
5,2,14,0,2,10,1,2,1,0,0
5,1,11,0,1,15,2,1,1,0,0
5,2,10,0,2,10,1,2,0,0,1
5,4,13,0,4,10,2,4,0,0,0
5,4,10,0,4,11,2,4,1,1,1
5,1,16,1,1,15,1,1,0,0,1
5,1,17,0,1,8,1,1,0,1,1
5,1,16,0,1,12,1,1,1,0,0
5,2,13,1,2,14,2,2,1,1,2
5,2,15,1,2,7,1,2,1,2,1
5,4,12,0,4,12,1,4,1,0,0
5,2,7,0,2,11,2,2,0,1,1
5,1,11,0,1,9,1,1,0,0,0
5,3,11,0,3,15,1,3,0,1,0
5,4,15,0,4,15,1,4,0,1,1
5,12,15,0,12,13,1,12,1,1,3
5,3,11,0,3,12,1,3,2,0,0
5,5,15,1,5,14,2,5,1,0,5
5,2,12,0,2,8,1,2,0,0,2
5,1,14,0,1,8,1,1,0,1,0
5,12,13,0,12,12,1,12,1,1,1
5,2,11,0,2,8,1,2,1,1,1
5,3,12,1,3,12,3,3,1,1,3
5,3,12,0,3,15,0,3,0,0,0
5,2,13,0,2,17,2,2,0,1,1
5,2,15,0,2,13,1,2,0,2,1
5,5,15,0,5,14,0,5,1,1,2
5,4,12,1,4,14,3,4,1,1,4
5,2,12,1,2,18,2,2,1,0,2
5,3,13,0,3,13,1,3,1,1,0
5,1,12,0,1,10,1,1,0,0,0
5,6,8,0,6,14,2,6,2,0,0
5,11,14,0,11,12,1,11,1,1,6
5,3,11,0,3,12,1,3,0,0,0
5,12,11,0,12,15,1,12,1,1,0
5,3,12,1,3,11,2,3,1,1,3
5,3,14,0,3,12,1,3,1,0,0
5,6,13,0,6,14,1,6,1,0,0
5,1,8,0,1,15,3,1,1,0,0
5,2,8,0,2,14,1,2,1,0,1
5,2,12,0,2,16,1,2,1,0,0
5,6,11,0,6,13,2,6,1,0,2
5,2,11,0,2,14,1,2,0,0,1
5,6,14,2,6,17,2,6,0,0,6
5,1,10,1,1,13,2,1,1,0,1
5,8,14,0,8,11,2,8,0,1,4
5,1,16,0,1,9,2,1,0,1,1
5,2,12,0,2,10,1,2,0,2,1
5,5,8,0,5,8,1,5,2,0,1
5,7,12,0,7,12,2,7,0,1,2
5,2,12,0,2,13,2,2,1,0,0
5,2,17,0,2,11,1,2,0,0,1
5,2,9,0,2,6,2,2,0,1,1
5,1,11,1,1,12,0,1,0,0,1
5,3,11,0,3,11,2,3,0,0,1
5,3,13,1,3,13,2,3,0,2,1
5,1,14,0,1,12,1,1,0,1,0
5,3,11,0,3,11,1,3,2,0,1
5,1,15,0,1,11,1,1,0,1,0
5,2,10,0,2,17,2,2,1,0,0
5,3,10,0,3,15,2,3,0,0,0
