n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
4,2,18,1,2,15,1,2,1,2,1
4,3,10,1,3,15,1,3,3,1,1
4,5,15,0,5,14,0,5,1,2,0
4,1,14,1,1,18,0,1,0,1,0
4,3,17,0,3,17,2,3,1,1,0
4,1,12,0,1,16,0,1,1,0,0
4,1,12,0,1,16,1,1,1,1,0
4,2,10,1,2,14,1,2,2,1,1
4,2,15,0,2,12,1,2,1,1,0
4,1,17,0,1,18,1,1,1,0,0
4,1,14,0,1,11,1,1,0,0,0
4,3,10,0,3,15,0,3,3,0,0
4,1,12,0,1,11,1,1,1,1,0
4,2,14,1,2,15,1,2,1,2,1
4,5,19,0,5,17,1,5,1,2,1
4,1,13,1,1,17,1,1,0,1,0
4,1,18,0,1,15,1,1,0,0,0
4,1,11,0,1,19,3,1,1,0,0
4,4,13,1,4,17,0,4,3,2,1
4,1,18,0,1,14,1,1,0,1,0
4,3,14,0,3,12,1,3,2,2,0
4,1,16,0,1,11,1,1,0,1,0
4,1,16,0,1,13,1,1,0,1,0
4,1,16,0,1,12,1,1,0,0,0
4,1,18,1,1,11,1,1,1,1,1
4,1,14,1,1,17,0,1,1,0,0
4,6,12,0,6,16,2,6,4,3,1
4,1,17,1,1,14,1,1,1,0,0
4,3,15,0,3,13,1,3,1,1,0
4,1,18,0,1,16,1,1,0,1,0
4,1,18,0,1,16,0,1,0,0,1
4,1,15,0,1,14,0,1,1,0,0
4,2,18,0,2,14,1,2,0,0,0
4,1,15,0,1,12,0,1,0,1,0
4,3,13,0,3,16,1,3,2,1,0
4,1,12,1,1,16,2,1,1,1,0
4,1,15,1,1,18,0,1,1,0,1
4,6,16,0,6,19,1,6,3,1,1
4,1,14,0,1,14,1,1,1,0,0
4,1,18,0,1,15,2,1,0,1,1
4,1,15,1,1,13,1,1,1,1,1
4,2,14,2,2,13,2,2,1,1,1
4,3,15,1,3,14,1,3,1,1,0
4,2,16,1,2,15,1,2,2,1,1
4,1,13,0,1,16,1,1,1,0,0
4,4,15,1,4,13,1,4,2,2,0
4,1,16,0,1,15,0,1,1,0,0
4,4,17,0,4,13,0,4,1,2,0
4,2,13,0,2,17,1,2,1,1,0
4,3,13,0,3,17,1,3,3,1,0
4,1,16,0,1,14,1,1,1,0,0
4,1,13,1,1,14,1,1,0,1,0
4,1,17,0,1,15,1,1,1,0,0
4,1,15,1,1,16,1,1,1,0,0
4,4,16,1,4,15,1,4,2,2,0
4,1,16,2,1,19,2,1,1,0,0
4,3,13,1,3,12,0,3,1,2,1
4,1,17,0,1,14,1,1,0,1,0
4,4,13,0,4,16,0,4,3,2,0
4,1,15,1,1,13,1,1,0,1,0
4,1,14,0,1,13,1,1,0,1,1
4,3,16,0,3,17,1,3,1,1,1
4,2,16,0,2,15,1,2,1,1,1
4,2,14,1,2,11,1,2,1,2,1
4,1,11,0,1,13,1,1,0,1,0
4,3,13,0,3,16,1,3,2,1,0
4,1,11,2,1,19,3,1,1,0,0
4,1,11,0,1,14,1,1,1,0,0
4,1,15,0,1,16,1,1,1,0,0
4,8,12,0,8,15,1,8,4,2,1
4,5,14,1,5,16,1,5,4,5,1
4,2,13,0,2,13,1,2,0,1,0
4,2,16,0,2,17,1,2,2,0,0
4,3,11,0,3,10,1,3,1,2,1
4,1,10,1,1,14,0,1,1,1,0
4,3,15,0,3,14,0,3,2,2,1
4,1,17,0,1,16,0,1,0,1,0
4,1,12,0,1,16,0,1,1,0,0
4,1,13,0,1,14,0,1,1,0,0
4,1,16,0,1,16,0,1,1,1,0
4,1,13,1,1,12,0,1,1,0,1
4,1,15,1,1,15,1,1,1,0,0
4,2,14,1,2,12,0,2,0,2,0
4,1,15,0,1,13,1,1,0,1,1
4,3,18,1,3,19,1,3,2,1,0
4,3,17,0,3,18,1,3,2,1,0
4,2,17,0,2,15,0,2,0,1,1
4,1,14,0,1,17,1,1,1,0,0
4,1,12,0,1,15,0,1,1,0,0
4,5,14,1,5,14,1,5,2,3,1
4,1,14,1,1,18,0,1,1,0,1
4,5,13,0,5,19,2,5,4,1,0
4,1,15,0,1,16,0,1,1,0,0
4,1,13,0,1,14,1,1,0,1,1
4,1,13,1,1,16,1,1,1,0,0
4,3,13,0,3,19,1,3,3,0,0
4,3,14,0,3,13,0,3,1,2,1
4,1,19,0,1,17,1,1,0,1,1
4,2,12,0,2,9,1,2,1,2,1
4,1,15,1,1,12,1,1,1,0,0
