n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
5,1,27,0,1,23,1,1,0,0,0
5,4,24,0,4,26,0,4,1,2,0
5,4,26,0,4,25,1,4,1,0,0
5,3,27,0,3,18,1,3,0,2,1
5,1,25,0,1,27,0,1,0,0,0
5,5,24,0,5,30,0,5,3,1,0
5,5,31,0,5,29,1,5,0,1,0
5,1,25,0,1,27,0,1,1,0,0
5,1,20,0,1,24,1,1,0,0,0
5,3,28,0,3,21,0,3,0,2,1
5,2,25,0,2,29,1,2,0,1,0
5,3,27,0,3,21,1,3,0,2,1
5,3,23,0,3,18,1,3,1,1,1
5,2,25,0,2,23,1,2,0,0,0
5,2,26,0,2,28,0,2,1,0,1
5,3,23,0,3,24,1,3,0,0,0
5,1,22,0,1,27,0,1,0,0,0
5,2,24,0,2,27,0,2,1,1,0
5,2,25,0,2,23,1,2,0,1,1
5,2,20,0,2,29,1,2,1,0,0
5,6,25,0,6,30,0,6,0,1,1
5,1,23,0,1,23,0,1,0,0,1
5,1,27,0,1,27,1,1,0,0,0
5,1,26,0,1,23,1,1,0,0,0
5,2,19,0,2,24,0,2,0,0,0
5,4,24,0,4,22,0,4,0,1,0
5,3,26,0,3,24,2,3,0,2,2
5,1,27,0,1,24,0,1,0,1,0
5,4,26,1,4,28,2,4,1,0,1
5,1,20,0,1,27,1,1,1,0,0
5,3,19,0,3,25,1,3,1,1,0
5,4,27,0,4,30,1,4,0,0,1
5,1,23,0,1,25,0,1,0,0,0
5,4,27,0,4,22,1,4,0,1,0
5,1,25,0,1,28,0,1,0,0,0
5,6,21,0,6,29,0,6,2,1,0
5,1,21,0,1,21,0,1,0,0,0
5,1,26,0,1,27,0,1,0,0,1
5,15,29,0,15,26,0,15,3,1,1
5,1,21,0,1,23,1,1,0,1,0
5,2,30,0,2,21,2,2,0,1,1
5,1,26,0,1,26,0,1,0,0,1
5,1,21,0,1,22,0,1,0,0,0
5,1,23,0,1,24,1,1,0,0,0
5,3,31,0,3,25,1,3,0,0,0
5,1,24,0,1,21,1,1,1,0,0
5,1,22,0,1,23,1,1,1,0,0
5,1,28,0,1,30,1,1,0,0,0
5,1,27,0,1,28,1,1,0,0,0
5,2,28,0,2,20,0,2,0,1,1
5,2,19,0,2,28,0,2,0,0,0
5,1,24,0,1,24,1,1,0,0,0
5,1,13,0,1,27,1,1,1,0,0
5,4,20,0,4,28,1,4,0,1,0
5,1,30,0,1,24,0,1,0,1,0
5,1,29,0,1,26,0,1,0,0,1
5,1,21,0,1,24,1,1,0,1,0
5,4,22,0,4,26,0,4,0,1,1
5,3,21,0,3,25,1,3,1,1,0
5,2,25,0,2,25,0,2,1,0,0
5,7,22,0,7,28,0,7,2,1,0
5,2,20,0,2,28,0,2,1,0,0
5,2,23,0,2,26,1,2,2,0,0
5,1,25,0,1,25,1,1,0,1,0
5,4,21,0,4,24,1,4,1,0,0
5,3,25,0,3,21,0,3,0,1,0
5,2,18,0,2,26,0,2,1,0,0
5,1,24,0,1,19,1,1,0,1,1
5,2,23,0,2,19,0,2,1,0,0
5,1,22,0,1,28,2,1,0,0,0
5,2,25,0,2,26,0,2,0,1,0
5,1,21,0,1,22,0,1,0,0,0
5,2,25,1,2,24,1,2,1,1,1
5,9,23,0,9,28,1,9,1,2,1
5,2,20,0,2,19,0,2,1,1,0
5,2,24,1,2,26,0,2,1,0,1
5,2,25,0,2,25,0,2,1,0,0
5,3,18,0,3,23,0,3,1,0,0
5,1,27,0,1,27,0,1,0,0,1
5,1,17,0,1,14,1,1,0,1,0
5,1,28,0,1,27,1,1,0,1,1
5,10,24,0,10,25,0,10,1,2,0
5,1,24,0,1,21,0,1,0,0,0
5,2,22,0,2,24,0,2,2,1,0
5,1,20,0,1,28,2,1,1,0,0
5,6,24,0,6,20,0,6,0,1,1
5,1,29,0,1,22,0,1,0,0,1
5,1,24,0,1,31,1,1,0,0,0
5,2,22,0,2,27,0,2,0,1,0
5,1,25,0,1,27,1,1,0,0,0
5,1,26,0,1,27,1,1,0,0,0
5,2,29,0,2,26,2,2,0,2,1
5,3,25,0,3,24,1,3,0,0,0
5,1,24,0,1,26,0,1,0,0,0
5,4,21,0,4,23,1,4,0,0,0
5,1,23,0,1,23,1,1,0,1,1
5,2,25,0,2,28,1,2,0,1,0
5,4,26,0,4,28,0,4,1,0,0
5,1,26,0,1,19,0,1,0,1,0
5,4,29,0,4,24,0,4,1,1,1
