n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
4,4,12,0,4,14,1,4,2,1,0
4,3,16,1,3,13,1,3,1,1,1
4,1,12,0,1,14,3,1,0,1,1
4,1,12,0,1,10,1,1,1,0,0
4,4,14,0,4,8,1,4,2,3,1
4,3,11,1,3,15,4,3,2,0,0
4,1,15,0,1,12,1,1,0,1,0
4,1,14,1,1,12,1,1,0,1,0
4,3,11,0,3,14,2,3,2,1,0
4,1,11,1,1,11,1,1,1,1,1
4,1,12,1,1,10,1,1,1,0,1
4,1,11,1,1,11,2,1,1,0,0
4,6,9,0,6,11,3,6,4,1,0
4,3,16,1,3,12,1,3,2,2,1
4,3,12,0,3,11,2,3,1,1,0
4,1,15,1,1,9,3,1,1,1,1
4,1,11,1,1,11,2,1,1,0,0
4,3,12,0,3,13,2,3,1,2,1
4,1,14,1,1,12,2,1,1,1,1
4,1,17,0,1,13,1,1,0,1,1
4,2,13,0,2,10,2,2,0,2,2
4,1,13,0,1,15,0,1,1,0,0
4,1,12,0,1,13,1,1,0,1,0
4,1,11,0,1,10,1,1,1,0,0
4,1,15,0,1,12,1,1,0,1,1
4,4,14,1,4,14,3,4,1,2,2
4,1,13,0,1,9,1,1,0,1,1
4,1,12,1,1,13,2,1,0,1,1
4,2,9,2,2,13,2,2,2,1,2
4,1,12,1,1,10,1,1,1,1,1
4,1,11,4,1,17,4,1,1,0,1
4,3,9,0,3,15,1,3,3,0,0
4,1,13,0,1,12,1,1,1,0,0
4,1,15,0,1,14,1,1,0,0,0
4,1,13,1,1,12,2,1,0,0,0
4,1,13,0,1,12,2,1,0,1,1
4,2,12,1,2,13,1,2,1,1,2
4,3,13,2,3,11,2,3,2,2,3
4,1,14,1,1,13,2,1,1,0,0
4,1,13,0,1,10,0,1,0,1,0
4,1,15,3,1,16,3,1,1,0,1
4,3,11,1,3,10,1,3,1,2,0
4,5,10,0,5,9,2,5,2,1,0
4,1,12,3,1,14,1,1,1,0,1
4,1,14,0,1,14,2,1,0,0,0
4,2,11,0,2,12,3,2,2,0,0
4,4,10,0,4,12,2,4,1,2,0
4,3,13,3,3,16,3,3,1,1,3
4,1,15,0,1,13,2,1,0,1,1
4,1,13,1,1,12,2,1,1,1,1
4,1,12,0,1,9,1,1,1,0,0
4,1,12,1,1,16,2,1,1,0,0
4,4,15,0,4,9,1,4,2,3,1
4,2,10,0,2,10,2,2,0,1,0
4,3,12,1,3,14,3,3,1,1,0
4,3,12,1,3,12,1,3,2,1,0
4,1,12,0,1,13,3,1,1,0,0
4,1,11,2,1,13,3,1,0,0,1
4,3,15,1,3,12,1,3,1,1,2
4,1,11,0,1,13,1,1,1,1,0
4,1,13,1,1,12,1,1,1,0,1
4,1,15,0,1,12,1,1,0,0,1
4,3,14,0,3,13,2,3,1,1,1
4,3,16,0,3,12,1,3,0,2,1
4,1,15,1,1,13,1,1,1,1,1
4,2,15,1,2,13,2,2,1,1,2
4,1,17,0,1,13,2,1,0,0,1
4,1,10,0,1,9,1,1,0,1,1
4,1,14,2,1,16,3,1,1,0,1
4,12,12,1,12,12,1,12,4,4,3
4,3,12,0,3,13,1,3,0,2,1
4,1,12,1,1,15,3,1,1,0,0
4,6,15,0,6,14,1,6,2,3,2
4,1,9,0,1,12,2,1,1,0,0
4,4,13,2,4,13,2,4,2,3,3
4,1,12,1,1,14,1,1,1,0,1
4,2,13,3,2,14,3,2,1,1,2
4,1,12,1,1,15,3,1,0,1,1
4,1,16,2,1,15,3,1,0,1,1
4,1,13,1,1,15,1,1,1,0,1
4,3,10,0,3,11,0,3,2,1,0
4,1,14,1,1,13,1,1,1,1,1
4,1,14,2,1,15,4,1,1,1,1
4,2,9,0,2,14,1,2,2,1,0
4,1,11,1,1,10,1,1,1,1,1
4,1,13,2,1,13,2,1,0,0,1
4,6,13,0,6,10,3,6,2,3,2
4,1,12,0,1,13,4,1,0,1,1
4,1,11,1,1,12,3,1,1,0,0
4,1,13,1,1,13,3,1,1,0,1
4,1,13,2,1,14,4,1,0,1,1
4,1,11,0,1,11,1,1,1,1,0
4,1,14,0,1,13,1,1,0,1,1
4,3,10,1,3,13,1,3,1,1,0
4,3,7,1,3,14,2,3,3,1,1
4,1,14,2,1,14,1,1,0,1,1
4,3,14,1,3,13,5,3,2,2,1
4,1,11,1,1,12,1,1,1,0,0
4,1,8,2,1,13,3,1,1,1,1
4,2,11,2,2,11,2,2,2,2,2
