n,|M(A)|,D_ktA,|M(A)A|,|M(B)|,D_ktB,|M(B)B|,|M(AUB)|,|M(AUB)A|,|M(AUB)B|,|M(AUB)(M(A)UM(B))|
8,19,26,0,19,27,0,19,0,0,0
8,20,18,0,20,20,0,20,0,1,0
8,26,26,0,26,30,0,26,1,0,0
8,22,24,0,22,15,0,22,0,0,0
8,7,25,0,7,22,0,7,0,0,1
8,200,27,0,200,24,0,200,0,1,1
8,9,27,0,9,25,0,9,0,0,0
8,10,17,0,10,25,0,10,0,0,0
8,4,25,0,4,25,0,4,0,0,0
8,4,22,0,4,19,0,4,0,0,0
8,132,24,0,132,25,0,132,0,0,0
8,15,23,0,15,27,0,15,0,0,0
8,6,21,0,6,22,0,6,0,0,0
8,16,25,0,16,23,0,16,0,0,0
8,30,21,0,30,18,0,30,0,0,0
8,218,26,0,218,20,0,218,0,1,0
8,6,17,0,6,16,1,6,0,0,0
8,114,26,0,114,22,0,114,0,1,1
8,15,22,0,15,21,0,15,0,0,0
8,12,23,0,12,22,0,12,0,0,0
8,145,19,0,145,24,0,145,0,0,0
8,6,17,0,6,26,0,6,0,0,0
8,2,21,0,2,24,0,2,0,0,0
8,7,22,0,7,18,0,7,0,0,0
8,32,20,0,32,18,0,32,0,0,0
8,14,28,0,14,18,0,14,0,1,0
8,45,24,0,45,21,0,45,0,0,0
8,104,22,0,104,18,1,104,0,0,0
8,22,19,0,22,21,0,22,0,0,0
8,41,12,0,41,20,0,41,0,0,0
8,9,19,0,9,21,0,9,0,0,0
8,3,22,0,3,23,0,3,0,0,0
8,2,21,0,2,22,0,2,0,0,0
8,78,22,0,78,21,1,78,0,0,0
8,3,17,0,3,22,0,3,0,0,0
8,56,19,0,56,19,0,56,0,1,0
8,67,29,0,67,26,0,67,1,0,1
8,14,22,0,14,19,0,14,0,0,0
8,20,20,0,20,18,0,20,0,0,0
8,4,32,0,4,27,0,4,0,0,1
8,1,20,0,1,19,0,1,0,0,0
8,21,18,0,21,23,0,21,0,0,0
8,67,17,0,67,30,0,67,0,0,0
8,4,22,0,4,25,0,4,0,0,0
8,28,23,0,28,29,1,28,0,0,0
8,21,30,0,21,23,0,21,0,0,1
8,48,21,0,48,25,0,48,0,0,0
8,17,18,0,17,23,0,17,0,0,0
8,27,20,0,27,21,0,27,0,0,0
8,4,24,0,4,21,0,4,0,0,0
8,8,24,0,8,26,0,8,0,0,0
8,33,22,0,33,26,0,33,0,0,0
8,12,20,0,12,22,0,12,0,0,0
8,2,17,0,2,20,0,2,0,0,0
8,2,17,0,2,18,1,2,0,0,0
8,2,25,0,2,14,0,2,0,0,0
8,47,25,0,47,18,0,47,0,0,0
8,8,25,0,8,25,1,8,0,0,0
8,16,14,0,16,21,0,16,0,0,0
8,8,25,0,8,22,0,8,0,0,0
8,52,27,0,52,28,0,52,0,0,0
8,49,26,0,49,24,0,49,0,0,0
8,12,16,0,12,22,0,12,1,0,0
8,4,20,0,4,23,0,4,0,0,0
8,16,18,0,16,23,0,16,0,0,0
8,23,24,0,23,20,1,23,0,1,1
8,5,17,0,5,27,0,5,0,0,0
8,42,25,0,42,24,0,42,0,0,1
8,2,21,0,2,28,0,2,0,0,0
8,20,17,0,20,24,1,20,0,0,0
8,12,18,0,12,23,0,12,0,0,0
8,8,15,0,8,18,0,8,0,0,0
8,2,24,0,2,27,0,2,0,0,0
8,45,27,0,45,23,0,45,0,0,0
8,48,15,0,48,21,0,48,1,0,0
8,12,25,0,12,25,0,12,0,0,0
8,12,17,0,12,16,0,12,0,0,0
8,9,29,0,9,24,1,9,0,0,0
8,28,19,0,28,23,0,28,0,0,0
8,112,15,0,112,27,0,112,0,0,0
8,4,22,0,4,22,0,4,0,0,1
8,10,23,0,10,23,0,10,0,0,0
8,16,18,0,16,25,0,16,0,0,0
8,4,27,0,4,25,0,4,0,0,0
8,30,20,0,30,18,1,30,0,0,1
8,48,23,0,48,17,0,48,0,0,0
8,6,18,0,6,22,1,6,0,0,0
8,54,25,0,54,30,0,54,0,0,0
8,28,20,0,28,28,0,28,0,0,0
8,3,21,0,3,24,0,3,0,0,0
8,6,25,0,6,23,1,6,0,0,0
8,4,15,0,4,24,0,4,0,0,0
8,2,18,0,2,23,0,2,0,0,0
8,30,21,0,30,19,0,30,0,0,0
8,14,19,0,14,22,1,14,0,0,0
8,36,11,0,36,16,0,36,1,0,0
8,120,18,0,120,28,1,120,1,1,0
8,120,20,0,120,20,1,120,0,2,1
8,4,25,0,4,15,0,4,0,0,1
8,8,27,0,8,13,0,8,0,0,1
